127.0.0.1 - - [30/Jan/2018:14:01:06 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:08 +0530] "GET /OnlinePropertySale/ HTTP/1.1" 200 4377
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:08 +0530] "GET /OnlinePropertySale/jquery-easyui-1.4.5/themes/default/easyui.css HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:08 +0530] "GET /OnlinePropertySale/jquery-easyui-1.4.5/demo.css HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:08 +0530] "GET /OnlinePropertySale/jquery-easyui-1.4.5/jquery.min.js HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:08 +0530] "GET /OnlinePropertySale/jquery-easyui-1.4.5/themes/icon.css HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:08 +0530] "GET /OnlinePropertySale/images/Home/logo.jpg HTTP/1.1" 200 6386
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:08 +0530] "GET /OnlinePropertySale/images/cp.png HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:08 +0530] "GET /OnlinePropertySale/jquery-easyui-1.4.5/jquery.easyui.min.js HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:08 +0530] "GET /OnlinePropertySale/images/Home/houses.jpg HTTP/1.1" 200 59523
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:08 +0530] "GET /OnlinePropertySale/images/Home/images.jpg HTTP/1.1" 200 725896
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:08 +0530] "GET /OnlinePropertySale/images/Home/image2.jpg HTTP/1.1" 200 113943
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:08 +0530] "GET /OnlinePropertySale/images/Home/image4.jpg HTTP/1.1" 200 108234
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:08 +0530] "GET /OnlinePropertySale/images/Home/image3.jpg HTTP/1.1" 200 39556
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:08 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:24 +0530] "GET /OnlinePropertySale/jquery-easyui-1.4.5/themes/icon.css HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:24 +0530] "GET /OnlinePropertySale/jquery-easyui-1.4.5/themes/default/easyui.css HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:24 +0530] "GET /OnlinePropertySale/Datepicker/jquery-ui.css HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:24 +0530] "GET /OnlinePropertySale/jquery-easyui-1.4.5/demo.css HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:24 +0530] "GET /OnlinePropertySale/jquery-easyui-1.4.5/jquery.min.js HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:24 +0530] "GET /OnlinePropertySale/images/cp.png HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:24 +0530] "GET /OnlinePropertySale/jquery-easyui-1.4.5/jquery.easyui.min.js HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:24 +0530] "GET /OnlinePropertySale/jquery/demo/demo.css HTTP/1.1" 200 388
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:24 +0530] "GET /OnlinePropertySale/Datepicker/jquery-1.10.2.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:24 +0530] "GET /OnlinePropertySale/Datepicker/jquery-ui.css HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:24 +0530] "GET /OnlinePropertySale/Datepicker/jquery-ui.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:24 +0530] "GET /OnlinePropertySale/jquery/jquery.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:24 +0530] "GET /OnlinePropertySale/jquery/themes/icon.css HTTP/1.1" 200 2506
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:24 +0530] "GET /OnlinePropertySale/jquery/themes/color.css HTTP/1.1" 200 6345
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:24 +0530] "GET /OnlinePropertySale/registration.html HTTP/1.1" 200 49608
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:24 +0530] "GET /OnlinePropertySale/jquery/themes/default/easyui.css HTTP/1.1" 200 59881
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:24 +0530] "GET /OnlinePropertySale/jquery/jquery.easyui.min.js HTTP/1.1" 200 409812
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:25 +0530] "GET /OnlinePropertySale/jquery/themes/default/images/combo_arrow.png HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:25 +0530] "GET /OnlinePropertySale/jquery/themes/default/images/datebox_arrow.png HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:30 +0530] "POST /OnlinePropertySale/registersuccess.html HTTP/1.1" 200 3145
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:30 +0530] "GET /OnlinePropertySale/images/cp.png HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:34 +0530] "GET /OnlinePropertySale/jquery-easyui-1.4.5/themes/icon.css HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:34 +0530] "GET /OnlinePropertySale/jquery-easyui-1.4.5/demo.css HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:34 +0530] "GET /OnlinePropertySale/jquery-easyui-1.4.5/themes/default/easyui.css HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:34 +0530] "GET /OnlinePropertySale/registration.html HTTP/1.1" 200 49608
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:34 +0530] "GET /OnlinePropertySale/Datepicker/jquery-ui.css HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:34 +0530] "GET /OnlinePropertySale/jquery-easyui-1.4.5/jquery.min.js HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:01:34 +0530] "GET /OnlinePropertySale/jquery-easyui-1.4.5/jquery.easyui.min.js HTTP/1.1" 404 1112
